#
# Master CCSM experiment list
#
#  Columns   Field
#   1 -  45  CCSM case name
#  46 -  47  Location (NC = NCAR; NE = NERSC; OR = ORNL)
#  55 -  74  Very brief description and/or PCMDI name (N/A if not applicable)
#  75 -  76  Realization number (<=2 digits) (0 if not applicable)
#  80 -  82  Is a CMIP3 (cm3) or CMIP5 (cm5) experiment?
#  85 - 124  RUN_REFCASE (parent CCSM case)
# 130 - 139  RUN_REFDATE (branch date, yyyy-mm-dd)
# 145 - 148  Year began or YYYY if unknown
# 150 - 153  Year ended or YYYY if unknown
# 155-  174  GRID (resolution)
# 175 - 194  COMPSET (all "-" if missing)
# 195 - 224  REPOTAG (all "-" if missing)
# 225 - 239  MACH (hardware)
# 240 - end  DOUT_L_MSROOT (history file location on archive)
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#                                                                                                  1         1         1         1         1         1         1         1         1         1         2         2         2         2         2         2
#        1         2         3         4         5         6         7         8         9         0         1         2         3         4         5         6         7         8         9         0         1         2         3         4         5
#234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
#CASE                                        loc      CMIP5 name          ##   CMIP RUN_REFCASE                                 RUN_REFDATE    BEGIN END  GRID                COMPSET             REPOTAG                       MACH           DOUT
b30.075-22                                   NC       SRESA1B             22   cm3  b30.074a                                     1999-12-30     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-23                                   NC       SRESA1B             23   cm3  b30.074a                                     1999-12-31     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-24                                   NC       SRESA1B             24   cm3  b30.074a                                     2000-01-02     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-25                                   NC       SRESA1B             25   cm3  b30.074a                                     2000-01-04     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-26                                   NC       SRESA1B             26   cm3  b30.074a                                     2000-01-06     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-27                                   NC       SRESA1B             27   cm3  b30.074a                                     2000-01-08     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-28                                   NC       SRESA1B             28   cm3  b30.074a                                     2000-01-10     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-29                                   NC       SRESA1B             29   cm3  b30.074a                                     2000-01-12     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-30                                   NC       SRESA1B             30   cm3  b30.074a                                     2000-01-14     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-31                                   NC       SRESA1B             31   cm3  b30.074a                                     2000-01-01     2000 2061 T42_gx1             ----------------    -------------------------     jaguar         /f2/hteng/ccsm
b30.075-32                                   NC       SRESA1B             32   cm3  b30.074a                                     2000-01-01     2000 2061 T42_gx1             ----------------    -------------------------     jaguar         /f2/hteng/ccsm
b30.075-33                                   NC       SRESA1B             33   cm3  b30.074a                                     2000-01-01     2000 2061 T42_gx1             ----------------    -------------------------     jaguar         /f2/hteng/ccsm
b30.075-34                                   NC       SRESA1B             34   cm3  b30.074a                                     2000-01-01     2000 2061 T42_gx1             ----------------    -------------------------     jaguar         /f2/hteng/ccsm
b30.075-35                                   NC       SRESA1B             35   cm3  b30.074a                                     2000-01-01     2000 2061 T42_gx1             ----------------    -------------------------     jaguar         /f2/hteng/ccsm
b30.075-36                                   NC       SRESA1B             36   cm3  b30.074a                                     2000-01-01     2000 2061 T42_gx1             ----------------    -------------------------     jaguar         /f2/hteng/ccsm
b30.075-37                                   NC       SRESA1B             37   cm3  b30.074a                                     2000-01-01     2000 2061 T42_gx1             ----------------    -------------------------     jaguar         /f2/hteng/ccsm
b30.075-38                                   NC       SRESA1B             38   cm3  b30.074a                                     2000-01-01     2000 2061 T42_gx1             ----------------    -------------------------     jaguar         /f2/hteng/ccsm
b30.075-39                                   NC       SRESA1B             39   cm3  b30.074a                                     2000-01-01     2000 2061 T42_gx1             ----------------    -------------------------     jaguar         /f2/hteng/ccsm
b30.075-40                                   NC       SRESA1B             40   cm3  b30.074a                                     2000-01-01     2000 2061 T42_gx1             ----------------    -------------------------     jaguar         /f2/hteng/ccsm
b30.275-01                                   NC       Commit              1    cm3  b30.074a                                     2000-01-01     2000 2061 T42_gx1             ----------------    -------------------------     bluefire       /CCSM/csm
b30.275-02                                   NC       Commit              2    cm3  b30.074a                                     1999-12-03     2000 2061 T42_gx1             ----------------    -------------------------     bluefire       /CCSM/csm
b30.275-03                                   NC       Commit              3    cm3  b30.074a                                     1999-12-05     2000 2061 T42_gx1             ----------------    -------------------------     bluefire       /CCSM/csm
b30.275-04                                   NC       Commit              4    cm3  b30.074a                                     1999-12-07     2000 2061 T42_gx1             ----------------    -------------------------     bluefire       /CCSM/csm
b30.275-05                                   NC       Commit              5    cm3  b30.074a                                     1999-12-09     2000 2061 T42_gx1             ----------------    -------------------------     bluefire       /CCSM/csm
b30.275-06                                   NC       Commit              6    cm3  b30.074a                                     1999-12-11     2000 2061 T42_gx1             ----------------    -------------------------     bluefire       /CCSM/csm
b30.275-07                                   NC       Commit              7    cm3  b30.074a                                     1999-12-13     2000 2061 T42_gx1             ----------------    -------------------------     bluefire       /CCSM/csm
b30.275-08                                   NC       Commit              8    cm3  b30.074a                                     1999-12-15     2000 2061 T42_gx1             ----------------    -------------------------     bluefire       /CCSM/csm
b30.275-09                                   NC       Commit              9    cm3  b30.074a                                     1999-12-17     2000 2061 T42_gx1             ----------------    -------------------------     bluefire       /CCSM/csm
b30.275-10                                   NC       Commit              10   cm3  b30.074a                                     1999-12-18     2000 2061 T42_gx1             ----------------    -------------------------     bluefire       /CCSM/csm
b30.275-11                                   NC       Commit              11   cm3  b30.074a                                     1999-12-19     2000 2061 T42_gx1             ----------------    -------------------------     bluefire       /CCSM/csm
b30.275-12                                   NC       Commit              12   cm3  b30.074a                                     1999-12-20     2000 2061 T42_gx1             ----------------    -------------------------     bluefire       /CCSM/csm
b30.275-13                                   NC       Commit              13   cm3  b30.074a                                     1999-12-21     2000 2061 T42_gx1             ----------------    -------------------------     bluefire       /CCSM/csm
